org_vivo_uri,org_name,org_ID
http://vivoweb.org/ontology/core#Department,Accounting,8b9df681
http://vivoweb.org/ontology/core#Department,Aerospace Engineering,e5c84f0a
http://vivoweb.org/ontology/core#Department,Agriculture Leadership Education and Communication,2d953da5
http://vivoweb.org/ontology/core#Department,Animal Science,2735b399
http://vivoweb.org/ontology/core#Department,Anthropology,26ddd99c
http://vivoweb.org/ontology/core#Department,Architecture,3c372a44
http://vivoweb.org/ontology/core#Department,Atmospheric Sciences,2833755e
http://vivoweb.org/ontology/core#Department,Biochemistry and Biophysics,f4046369
http://vivoweb.org/ontology/core#Department,Biological and Agricultural Engineering,2884689f
http://vivoweb.org/ontology/core#Department,Biology,533de40b
http://vivoweb.org/ontology/core#Department,Biomedical Engineering,7518c091
http://vivoweb.org/ontology/core#College,Bush School of Government and Public Service,331ec525
http://vivoweb.org/ontology/core#Department,Chemistry,3d066602
http://vivoweb.org/ontology/core#Department,Civil Engineering,a96ec482
http://vivoweb.org/ontology/core#College,College of Engineering,1b23429b
http://vivoweb.org/ontology/core#Department,Computer Science,ac3e839c
http://vivoweb.org/ontology/core#Department,Construction Science,52bbb58c
http://vivoweb.org/ontology/core#Department,Department of Communication,9b0ead26
http://vivoweb.org/ontology/core#Department,Economics,f55b14ad
http://vivoweb.org/ontology/core#Department,Ecosystem Science and Management,2872677a
http://vivoweb.org/ontology/core#Department,Educational Administration and Human Resource Development,8153433f
http://vivoweb.org/ontology/core#Department,Educational Psychology,364e823b
http://vivoweb.org/ontology/core#Department,Electrical and Computer Engineering,2d633240
http://vivoweb.org/ontology/core#Department,Engineering Technology and Industrial Distribution,7048878f
http://vivoweb.org/ontology/core#Department,English,91770559
http://vivoweb.org/ontology/core#Department,Entomology,2d222064
http://vivoweb.org/ontology/core#Department,Finance,ea8f9be9
http://vivoweb.org/ontology/core#Department,Geography,a6291061
http://vivoweb.org/ontology/core#Department,Geology and Geophysics,4c1f64aa
http://vivoweb.org/ontology/core#Department,Health and Kinesiology,ef68c136
http://vivoweb.org/ontology/core#Department,History,4d01014a
http://vivoweb.org/ontology/core#Department,Horticultural Science,224add21
http://vivoweb.org/ontology/core#Department,Industrial and Systems Engineering,90de7d78
http://vivoweb.org/ontology/core#Department,Information and Operations Management,fb02a5ae
http://vivoweb.org/ontology/core#Department,Large Animal Clinical Sciences,4f9163cf
http://vivoweb.org/ontology/core#Department,Management,390956d8
http://vivoweb.org/ontology/core#Department,Marketing,8e1497dc
http://vivoweb.org/ontology/core#Department,Mathematics,377fce7d
http://vivoweb.org/ontology/core#Department,Mechanical Engineering,1ec41847
http://vivoweb.org/ontology/core#Department,Nuclear Engineering,c2b21c54
http://vivoweb.org/ontology/core#Department,Oceanography,94905f86
http://vivoweb.org/ontology/core#Department,Petroleum Engineering,1b945f59
http://vivoweb.org/ontology/core#Department,Philosophy and Humanities,f1153653
http://vivoweb.org/ontology/core#Department,Physics and Astronomy,59444c74
http://vivoweb.org/ontology/core#Department,Political Science,9e87cc7b
http://vivoweb.org/ontology/core#Department,Psychology,f5352f2f
http://vivoweb.org/ontology/core#College,Qatar Executive Management,e49738ce
http://vivoweb.org/ontology/core#Department,"Recreation, Parks, and Tourism Science",e0412e57
http://vivoweb.org/ontology/core#College,School of Law,499605f7
http://vivoweb.org/ontology/core#Department,Small Animal Clinical Sciences,f22c2cf7
http://vivoweb.org/ontology/core#Department,Sociology,9e5eea38
http://vivoweb.org/ontology/core#Department,Statistics,ee598d70
http://vivoweb.org/ontology/core#Department,Teaching Learning and Culture,58750032
http://vivoweb.org/ontology/core#College,University Libraries,fb6c9e2c
http://vivoweb.org/ontology/core#Department,Veterinary Integrative Biosciences,21aae1c6
http://vivoweb.org/ontology/core#Department,Veterinary Pathobiology,329894a2
http://vivoweb.org/ontology/core#Department,Veterinary Physiology and Pharmacology,38381a9e